marca-id;marca-descr;produto-classe;produto-ean;produto-dun;produto-conservacao;produto-descr
4;BRF - Perdigão;Outros;7891515489328;;Congelado;Mini Chicken Queijo Perdigão 3kg - Caixa com 2
3;BRF - Sadia;Suínos;7891515489069;;Congelado;Pernil Suíno Temperado Sadia Assa Fácil Caixa 6kg
3;BRF - Sadia;Aves;7891515488550;;Congelado;Coxa com Sobrecoxa de Frango sem Osso Sadia Bio 1kg -Caixa c/12
3;BRF - Sadia;Aves;7891515488536;;Congelado;Filé de Peito de Frango Sadia Bio 1kg -Caixa c/12
3;BRF - Sadia;Suínos;7891515489090;;Congelado;Picanha Suína Temperada Sadia Assa Fácil Caixa 6kg
4;BRF - Perdigão;Aves;7891515496241;;Congelado;Lasanha Bolonhesa Perdigão Tamanho Família - 1kg -Caixa c/4
4;BRF - Perdigão;Aves;7891515486372;;Congelado;Coxinha da Asa de Frango Temperada Perdigão Na Brasa 800g -Caixa c/9
4;BRF - Perdigão;Aves;7891515486389;;Congelado;Sobrecoxa de Frango Temperada Perdigão Na Brasa 800g -Caixa c/9
4;BRF - Perdigão;Aves;7891515486945;;Congelado;Coxa com Sobrecoxa de Frango sem Osso Perdigão 2kg -Caixa c/6
4;BRF - Perdigão;Aves;7891515487416;;Congelado;Coração de Frango Temperado Molho Shoyu Perdigão Na Brasa 800g -Caixa c/9
3;BRF - Sadia;Lanches;7891515486846;;Congelado;Nuggets Tradicional Sadia Nuggets Embalagem Econômica 700g -Caixa c/6
3;BRF - Sadia;Aves;7891515486594;;Congelado;Coxa de Frango Temperada Sadia 1kg -Caixa c/8
9;BRF - Sofiteli;Margarinas;7893000012387;;Resfriado;Margarina com Sal 75% de Lidípio Sofiteli Balde 15kg -Caixa c/1
3;BRF - Sadia;Aves;7891515486587;;Congelado;Sobrecoxa de Frango Temperada Sadia 1kg -Caixa c/8
3;BRF - Sadia;Aves;7891515486747;;Congelado;Filé de Peito de Frango Temperado sem Pele sem OssoSadia 1kg -Caixa c/8
4;BRF - Perdigão;Aves;7891515487171;;Congelado;Peito de Frango Sem Pele Perdigão Caixa 15Kg -Caixa c/1
4;BRF - Perdigão;Suínos;7891515485146;;Congelado;Linguiça Toscana com Pimenta-Biquinho Perdigão Na Brasa 600g -Caixa c/12
4;BRF - Perdigão;Suínos;7891515485139;;Congelado;Linguiça Toscana com Queijo Coalho Perdigão Na Brasa 600g -Caixa c/12
4;BRF - Perdigão;Suínos;7891515485122;;Congelado;Linguiça de Frango com Bacon Perdigão Na Brasa 600g -Caixa c/12
4;BRF - Perdigão;Suínos;7891515485115;;Congelado;Linguiça Toscana com Alho e Ervas Perdigão Na Brasa 600g -Caixa c/12
3;BRF - Sadia;Aves;7893000073142;;Congelado;Lasanha Bolonhesa Sadia Embalagem Econômica - 1kg -Caixa c/4
3;BRF - Sadia;Aves;7893000073166;;Congelado;Lasanha Quatro Queijos Sadia Embalagem Econômica - 1kg -Caixa c/4
4;BRF - Perdigão;Outros;7891515484040;;Resfriado;Presunto Cozido Fatiado Perdigão 200g -Caixa c/20
3;BRF - Sadia;Aves;7893000674073;;Congelado;Lasanha Quatro Queijos Sadia 350g -Caixa c/12
4;BRF - Perdigão;Aves;7891515443528;;Congelado;Frango à Parmegiana Perdigão 0,8Kg -Caixa c/4
3;BRF - Sadia;Aves;7893000674233;;Congelado;Lasanha Bolonhesa Sadia 350g -Caixa c/12
3;BRF - Sadia;Outros;7893000902633;;Congelado;Yakissoba Sadia 600g -Caixa c/6
3;BRF - Sadia;Aves;7893000069374;;Congelado;Strogonoff Frango Sadia 500g -Caixa c/6
3;BRF - Sadia;Aves;7893000492394;;Congelado;Frango à Parmegiana Sadia 500g -Caixa c/6
3;BRF - Sadia;Aves;7891515475642;;Congelado;Lasanha Frango Sadia 600g -Caixa c/6
3;BRF - Sadia;Aves;7891515475697;;Congelado;Lasanha Presunto e Queijo ao Sugo Sadia 600g -Caixa c/6
3;BRF - Sadia;Aves;7891515476212;;Congelado;Lasanha Peito de Peru Sadia 600g -Caixa c/6
3;BRF - Sadia;Aves;7893000005976;;Congelado;Sobrecoxa de Frango Sadia 1kg -Caixa c/12
3;BRF - Sadia;Suínos;7891515476229;;Congelado;Lasanha Calabresa Sadia 600g -Caixa c/6
